model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
HistGradientBoosting,42,spatial_test,2025,378,7,0.018518518518518517,0.6457047935453251,0.011855161638878035,0.017653607898238423,0.9772814786291876,0.8571428571428571,0.15789473684210525
HistGradientBoosting,42,spatial_test,2026,262,0,0.0,,6.971633560099409e-05,0.002926794693039606,,,0.0
EcoTemporalNet,42,test,2020,366,43,0.11748633879781421,0.7362862931399203,0.06508886960573655,0.06304403721797812,0.8800489596083232,0.627906976744186,0.7297297297297297
EcoTemporalNet,42,test,2021,1294,124,0.09582689335394126,0.41408032963128255,0.06873506628200787,0.031151411744629376,0.8450303280948441,0.49193548387096775,0.46923076923076923
EcoTemporalNet,42,test,2022,63,6,0.09523809523809523,0.6968253968253969,0.03981070369120209,0.07190015479135183,0.9766081871345029,0.8333333333333334,0.7142857142857143
EcoTemporalNet,42,test,2023,70,10,0.14285714285714285,0.4541205118411001,0.09891750934898012,0.07617445697551485,0.8883333333333333,0.3,0.42857142857142855
EcoTemporalNet,42,test,2024,1679,39,0.023228111971411555,0.27713745848434096,0.019421900395558037,0.009311357559431244,0.9195590994371482,0.6923076923076923,0.16071428571428573
EcoTemporalNet,42,test,2025,1882,29,0.015409139213602551,0.200651643307275,0.015590914085805903,0.007468021993441803,0.907921915998288,0.7931034482758621,0.12169312169312169
EcoTemporalNet,42,test,2026,1656,1,0.0006038647342995169,0.16666666666666666,0.0010196362965672998,0.0037800657190946115,0.9969788519637462,1.0,0.006024096385542169
EcoTemporalNet,42,spatial_test,2020,85,0,0.0,,8.488264968335668e-05,0.005909164236883895,,,0.0
EcoTemporalNet,42,spatial_test,2021,288,16,0.05555555555555555,0.2747946520576657,0.05018446876457224,0.049396323713271524,0.8435202205882353,0.375,0.20689655172413793
EcoTemporalNet,42,spatial_test,2022,26,2,0.07692307692307693,0.75,0.039016010093653034,0.08027728568060502,0.9583333333333333,0.5,0.3333333333333333
EcoTemporalNet,42,spatial_test,2023,35,4,0.11428571428571428,0.6791666666666667,0.05153566888737385,0.06948758141160814,0.967741935483871,0.75,0.75
EcoTemporalNet,42,spatial_test,2024,394,15,0.03807106598984772,0.3595120945966249,0.02927525173529489,0.023383139066789488,0.9625329815303432,0.8666666666666667,0.325
EcoTemporalNet,42,spatial_test,2025,378,7,0.018518518518518517,0.6407091372529161,0.011038326610302355,0.007658239542001294,0.9857527916827108,1.0,0.18421052631578946
