model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
Logistic,73,test,2025,51,18,0.35294117647058826,0.6721888327328559,0.1971901031357769,0.07127109347072631,0.7070707070707071,0.2777777777777778,0.8333333333333334
RandomForest,73,test,2020,52,10,0.19230769230769232,0.275301092535344,0.15372081193080836,0.03275387701749993,0.6,0.1,0.16666666666666666
RandomForest,73,test,2021,52,20,0.38461538461538464,0.8386509699009701,0.17389321662234233,0.16773230791781465,0.840625,0.3,1.0
RandomForest,73,test,2022,52,9,0.17307692307692307,0.37679789752158177,0.14352088748967032,0.11871658891001538,0.6873385012919896,0.3333333333333333,0.5
RandomForest,73,test,2023,53,16,0.3018867924528302,0.49882181256890107,0.20103523371392074,0.15577471676832502,0.6199324324324323,0.1875,0.5
RandomForest,73,test,2024,52,18,0.34615384615384615,0.6430800879658598,0.20773504277441307,0.08861311529475159,0.7156862745098039,0.2777777777777778,0.8333333333333334
RandomForest,73,test,2025,51,18,0.35294117647058826,0.6745836864762196,0.1883638042839366,0.1689999433068896,0.755892255892256,0.2777777777777778,0.8333333333333334
HistGradientBoosting,73,test,2020,52,10,0.19230769230769232,0.27538652212977494,0.15509502048214405,0.037195330935088346,0.6071428571428572,0.1,0.16666666666666666
HistGradientBoosting,73,test,2021,52,20,0.38461538461538464,0.6531174452115192,0.18419999200158804,0.08633464991651517,0.7671875,0.15,0.5
HistGradientBoosting,73,test,2022,52,9,0.17307692307692307,0.4617702726980585,0.14421927826005687,0.15778385915304874,0.6304909560723515,0.4444444444444444,0.6666666666666666
HistGradientBoosting,73,test,2023,53,16,0.3018867924528302,0.4840806135444768,0.2051336427753218,0.08004734952674984,0.5760135135135135,0.25,0.6666666666666666
HistGradientBoosting,73,test,2024,52,18,0.34615384615384615,0.5670626326769922,0.2051822310303616,0.06777649640352504,0.6748366013071896,0.2222222222222222,0.6666666666666666
