sample_date,samples,regions,target_hab_events,target_hab_share,a_tamarense_peak_cells_l,d_acuta_peak_cells_l,mean_sst_c,mean_salinity_psu
2014-10-20,7,7,0,0.0,0,60,13.312153132271016,30.874520935711683
2014-10-25,1,1,0,0.0,0,0,12.8125261893639,32.5324175908015
2014-10-26,1,1,0,0.0,0,0,12.9490107297897,29.9245775938034
2014-10-27,4,4,0,0.0,0,20,12.92295852669905,30.95668195049485
2014-11-02,1,1,0,0.0,0,160,12.7898892334529,30.1630401611328
2015-03-01,1,1,0,0.0,0,0,6.62646988110665,33.6519588568272
2015-03-02,5,5,0,0.0,0,0,4.03539722594967,30.939905183866422
2015-03-09,5,5,0,0.0,0,0,5.174582434484492,32.304577234726096
2015-03-10,2,2,0,0.0,0,0,4.072882058403705,30.152328785983002
2015-03-15,1,1,0,0.0,0,0,6.2307515511146,33.4811500158065
2015-03-16,12,12,0,0.0,0,0,5.126235397229723,32.077297328953094
2015-03-22,2,2,0,0.0,0,0,6.014730002853895,33.9379019684844
2015-03-23,14,14,0,0.0,0,0,5.148122097883759,32.54387176633103
2015-04-05,10,10,0,0.0,0,40,4.9456060138306075,30.3637821017901
2015-04-07,15,15,0,0.0,0,0,5.46541329469881,31.908831370735097
2015-04-13,17,17,0,0.0,0,0,5.908005307176686,32.06327876962791
2015-04-19,1,1,0,0.0,0,0,6.7444009414086,33.3016336881197
2015-04-20,17,17,0,0.0,40,20,6.939949842892382,31.56703014060867
2015-04-26,1,1,0,0.0,0,0,7.24255515367557,33.3455541561811
2015-04-27,17,17,0,0.0,0,0,6.915920492513266,32.04726408610309
2015-05-04,8,8,0,0.0,0,0,7.063292903618499,33.550546716857724
2015-05-10,3,3,0,0.0,200,0,8.320719697536568,31.86679426945467
2015-05-11,15,15,0,0.0,40,100,8.279380173588557,30.857772757667824
2015-05-12,1,1,0,0.0,0,0,9.42032713549478,26.5543658733368
2015-05-17,1,1,0,0.0,0,40,8.51448220473069,33.3956085596329
2015-05-18,16,16,0,0.0,40,0,9.231381200546188,29.84920051590575
2015-05-25,1,1,0,0.0,0,0,9.6178428209745,33.2650416447566
2015-05-26,15,15,0,0.0,120,40,10.148512962648871,29.974599772222106
2015-05-27,1,1,0,0.0,0,0,9.53163146972656,30.740626675742
2015-05-28,1,1,0,0.0,0,0,8.69495964050293,34.205005645752
2015-06-01,16,16,1,0.0625,280,40,10.102753124225403,30.733545980602948
2015-06-02,1,1,0,0.0,0,0,10.5718822479248,29.2798987627029
